Tool,Execution Time (s),CPU Used (%),Memory Used (KB)
ruff,0.01,129,78412
mypy,0.15,99,52548
bandit,0.20,100,29244
flake8,0.15,232,24724
ruff,0.01,145,78544
mypy,0.15,100,52620
bandit,0.20,100,29248
flake8,0.15,236,22868
ruff,0.01,145,82156
mypy,0.15,100,52648
bandit,0.20,100,29156
flake8,0.15,236,22808
ruff,0.01,133,84360
mypy,0.15,100,52572
bandit,0.20,100,29140
flake8,0.16,229,22660
ruff,0.01,129,80148
mypy,0.15,99,52564
bandit,0.20,100,29280
flake8,0.15,235,22864
ruff,0.01,154,80064
mypy,0.15,99,52564
bandit,0.20,100,29248
flake8,0.16,232,22736
ruff,0.01,133,72724
mypy,0.15,100,52608
bandit,0.20,99,29328
flake8,0.15,234,22732
ruff,0.01,127,80292
mypy,0.15,100,52556
bandit,0.20,100,29280
flake8,0.15,230,22736
ruff,0.01,122,79824
mypy,0.15,100,52564
bandit,0.20,100,29320
flake8,0.15,232,22864
ruff,0.01,145,82344
mypy,0.15,100,52536
bandit,0.22,100,29248
flake8,0.17,223,22816
ruff,0.05,103,66024
mypy,0.15,99,52548
bandit,0.20,99,29132
flake8,0.15,234,22660
ruff,0.04,111,84344
mypy,0.15,100,52536
bandit,0.22,97,29288
flake8,0.14,237,22732
ruff,0.01,122,80164
mypy,0.15,97,52600
bandit,0.21,99,29160
flake8,0.15,234,22752
ruff,0.01,133,86204
mypy,0.15,100,52616
bandit,0.20,99,29268
flake8,0.15,234,22792
ruff,0.01,145,84568
mypy,0.14,99,52608
bandit,0.20,99,29264
flake8,0.15,241,22740
ruff,0.01,136,84388
mypy,0.15,100,52548
bandit,0.20,99,29328
flake8,0.16,233,22796
ruff,0.01,126,82252
mypy,0.15,99,52448
bandit,0.20,100,29252
flake8,0.15,236,22860
ruff,0.01,154,82284
mypy,0.15,100,52552
bandit,0.20,99,29252
flake8,0.15,239,22796
ruff,0.01,145,77228
mypy,0.15,99,52612
bandit,0.20,99,28964
flake8,0.15,238,22808
ruff,0.01,145,78088
mypy,0.15,100,52632
bandit,0.20,100,29252
flake8,0.16,233,22808
ruff,0.01,126,76364
mypy,0.15,100,52532
bandit,0.20,99,29088
flake8,0.15,231,24832
ruff,0.01,133,84148
mypy,0.15,98,52548
bandit,0.20,95,29144
flake8,0.15,241,22784
ruff,0.01,133,82212
mypy,0.15,100,52564
bandit,0.20,100,29232
flake8,0.16,233,24744
ruff,0.01,140,74036
mypy,0.15,100,52536
bandit,0.20,99,29172
flake8,0.15,229,22744
ruff,0.01,127,80616
mypy,0.15,100,52628
bandit,0.20,100,29228
flake8,0.15,238,22692
ruff,0.01,150,76772
mypy,0.15,99,52568
bandit,0.20,100,29284
flake8,0.15,232,22864
ruff,0.01,145,78668
mypy,0.15,100,52616
bandit,0.20,100,29232
flake8,0.15,233,22784
ruff,0.01,145,84356
mypy,0.15,100,52564
bandit,0.21,100,29156
flake8,0.16,232,22704
ruff,0.01,127,84236
mypy,0.15,100,52452
bandit,0.20,99,29080
flake8,0.15,244,22816
ruff,0.01,136,79996
mypy,0.15,100,52552
bandit,0.20,100,29296
flake8,0.15,244,22808
ruff,0.01,145,74600
mypy,0.15,99,52532
bandit,0.20,100,29124
flake8,0.15,244,22684
ruff,0.01,145,74304
mypy,0.15,100,52556
bandit,0.20,100,29164
flake8,0.15,240,22708
ruff,0.01,122,78692
mypy,0.15,100,52448
bandit,0.20,99,29088
flake8,0.15,240,24836
ruff,0.01,136,80120
mypy,0.15,99,52540
bandit,0.20,100,29232
flake8,0.15,231,22816
ruff,0.01,136,82424
mypy,0.15,100,52560
bandit,0.20,100,29308
flake8,0.15,238,22816
ruff,0.01,145,82016
mypy,0.15,100,52572
bandit,0.20,100,29256
flake8,0.16,235,22660
ruff,0.01,106,62060
mypy,0.15,99,52528
bandit,0.20,99,29160
flake8,0.15,229,24664
ruff,0.01,130,84008
mypy,0.15,100,52556
bandit,0.20,99,29284
flake8,0.15,237,22800
ruff,0.01,145,80276
mypy,0.15,100,52548
bandit,0.21,97,29328
flake8,0.15,238,22704
ruff,0.01,145,80068
mypy,0.15,99,52548
bandit,0.21,99,29288
flake8,0.17,234,22688
ruff,0.01,127,82540
mypy,0.15,100,52456
bandit,0.20,99,29312
flake8,0.15,240,22768
ruff,0.01,154,84100
mypy,0.15,100,52476
bandit,0.20,100,28964
flake8,0.14,238,22660
ruff,0.01,125,82316
mypy,0.15,100,52616
bandit,0.20,99,29252
flake8,0.15,235,22736
ruff,0.01,136,82280
mypy,0.15,100,52572
bandit,0.20,99,29216
flake8,0.16,230,24732
ruff,0.01,122,78288
mypy,0.14,99,52608
bandit,0.20,100,28964
flake8,0.15,241,22732
ruff,0.01,145,82308
mypy,0.15,99,52444
bandit,0.20,99,29156
flake8,0.15,230,22700
ruff,0.01,145,78736
mypy,0.15,100,52612
bandit,0.20,99,29244
flake8,0.14,235,22812
ruff,0.01,136,84220
mypy,0.15,100,52616
bandit,0.20,100,29328
flake8,0.16,231,22816
ruff,0.01,135,84220
mypy,0.15,100,52612
bandit,0.20,99,29236
flake8,0.14,233,24868
ruff,0.01,136,80484
mypy,0.14,99,52528
bandit,0.20,99,29332
flake8,0.15,233,24744
ruff,0.01,140,72804
mypy,0.15,100,52524
bandit,0.21,100,29328
flake8,0.14,235,22732
ruff,0.01,127,80204
mypy,0.15,99,52456
bandit,0.20,99,29332
flake8,0.15,225,22736
ruff,0.01,122,80500
mypy,0.15,99,52620
bandit,0.20,99,29264
flake8,0.15,239,24892
ruff,0.01,127,75988
mypy,0.15,99,52568
bandit,0.20,99,29252
flake8,0.15,239,22736
ruff,0.01,127,82048
mypy,0.15,100,52524
bandit,0.20,100,29260
flake8,0.15,231,22732
ruff,0.01,136,86504
mypy,0.15,100,52564
bandit,0.20,99,29136
flake8,0.15,239,22708
ruff,0.01,129,74520
mypy,0.15,100,52604
bandit,0.20,100,29280
flake8,0.15,233,24736
ruff,0.01,141,84324
mypy,0.15,99,52480
bandit,0.20,99,29076
flake8,0.15,233,22804
ruff,0.01,127,84448
mypy,0.15,99,52448
bandit,0.19,100,29280
flake8,0.15,233,22800
ruff,0.01,130,67972
mypy,0.15,99,52616
bandit,0.20,99,29300
flake8,0.15,222,22796
ruff,0.01,127,82396
mypy,0.15,99,52528
bandit,0.20,100,29128
flake8,0.15,241,26844
ruff,0.01,133,78460
mypy,0.15,99,52624
bandit,0.20,99,29048
flake8,0.15,235,22728
ruff,0.01,125,80416
mypy,0.15,100,52604
bandit,0.20,99,29260
flake8,0.15,233,22664
ruff,0.01,138,84492
mypy,0.15,100,52536
bandit,0.20,100,29252
flake8,0.16,238,24824
ruff,0.01,115,86252
mypy,0.15,100,52564
bandit,0.20,100,29160
flake8,0.15,250,22816
ruff,0.01,133,86272
mypy,0.15,100,52536
bandit,0.20,100,29332
flake8,0.15,239,22868
ruff,0.01,133,84012
mypy,0.15,100,52608
bandit,0.20,100,29248
flake8,0.15,238,22732
ruff,0.01,154,82284
mypy,0.15,99,52540
bandit,0.20,99,29136
flake8,0.16,231,22864
ruff,0.01,122,74580
mypy,0.15,100,52476
bandit,0.20,99,29164
flake8,0.16,232,22732
ruff,0.01,133,80008
mypy,0.15,99,52476
bandit,0.20,100,29124
flake8,0.15,234,24716
ruff,0.01,141,80124
mypy,0.15,100,52608
bandit,0.20,99,29292
flake8,0.16,226,22796
ruff,0.01,136,78400
mypy,0.15,100,52548
bandit,0.21,100,29232
flake8,0.15,234,22868
ruff,0.01,122,80256
mypy,0.15,99,52616
bandit,0.20,99,29252
flake8,0.16,235,22796
ruff,0.01,141,78492
mypy,0.15,100,52600
bandit,0.21,100,29248
flake8,0.14,232,22808
ruff,0.01,136,78164
mypy,0.14,99,52532
bandit,0.20,99,29240
flake8,0.15,235,22804
ruff,0.01,136,78236
mypy,0.15,100,52552
bandit,0.21,100,29236
flake8,0.14,234,22772
ruff,0.01,121,84352
mypy,0.15,100,52616
bandit,0.20,99,29228
flake8,0.14,239,22812
ruff,0.01,133,84240
mypy,0.15,100,52532
bandit,0.20,99,29248
flake8,0.15,236,22796
ruff,0.01,145,78044
mypy,0.15,99,52540
bandit,0.20,100,29124
flake8,0.15,234,22804
ruff,0.01,136,80156
mypy,0.15,100,52560
bandit,0.20,100,29240
flake8,0.16,232,22748
ruff,0.01,126,84384
mypy,0.15,100,52572
bandit,0.20,99,29160
flake8,0.15,230,22816
ruff,0.01,145,76480
mypy,0.15,100,52456
bandit,0.20,99,29280
flake8,0.15,233,24808
ruff,0.01,145,82324
mypy,0.15,100,52556
bandit,0.22,97,29168
flake8,0.18,237,24720
ruff,0.07,109,82196
mypy,0.15,100,52436
bandit,0.20,99,29152
flake8,0.15,236,24708
ruff,0.01,123,80660
mypy,0.15,99,52632
bandit,0.20,99,29236
flake8,0.15,241,22812
ruff,0.01,130,66000
mypy,0.15,100,52608
bandit,0.20,100,29112
flake8,0.15,238,22728
ruff,0.01,141,78276
mypy,0.15,99,52556
bandit,0.20,99,28960
flake8,0.15,234,26720
ruff,0.01,136,80452
mypy,0.16,100,52628
bandit,0.20,99,29248
flake8,0.15,232,22816
ruff,0.01,131,76624
mypy,0.15,100,52540
bandit,0.20,100,29292
flake8,0.15,236,22712
ruff,0.01,141,80484
mypy,0.16,100,52620
bandit,0.20,100,29324
flake8,0.15,238,22812
ruff,0.01,136,78128
mypy,0.15,99,52460
bandit,0.20,99,29236
flake8,0.15,239,22804
ruff,0.01,141,78364
mypy,0.15,100,52556
bandit,0.20,99,29232
flake8,0.16,226,22704
ruff,0.01,135,76260
mypy,0.15,100,52608
bandit,0.20,100,29252
flake8,0.15,251,22732
ruff,0.01,127,74016
mypy,0.15,100,52608
bandit,0.20,99,29124
flake8,0.16,239,22692
ruff,0.01,133,80496
mypy,0.15,100,52464
bandit,0.20,98,29248
flake8,0.15,232,22864
ruff,0.01,145,80204
mypy,0.15,100,52580
bandit,0.21,100,29128
flake8,0.15,232,22836
ruff,0.01,127,80232
mypy,0.15,100,52572
bandit,0.20,100,29080
flake8,0.15,238,22800
ruff,0.01,150,80040
mypy,0.15,99,52608
bandit,0.20,99,29328
flake8,0.15,234,22680
ruff,0.01,145,82084
mypy,0.15,100,52624
bandit,0.20,100,29284
flake8,0.15,241,22740
ruff,0.01,145,82164
mypy,0.15,99,52536
bandit,0.20,100,29232
flake8,0.15,230,22712
ruff,0.01,129,80228
mypy,0.15,100,52560
bandit,0.20,100,29300
flake8,0.15,234,22864
ruff,0.01,136,76348
mypy,0.15,100,52596
bandit,0.20,100,28964
flake8,0.15,236,22704
ruff,0.01,150,80196
mypy,0.15,100,52524
bandit,0.20,100,29240
flake8,0.15,237,22808
ruff,0.01,141,86104
mypy,0.15,96,52628
bandit,0.21,100,28972
flake8,0.16,231,24668
ruff,0.01,121,80516
mypy,0.15,100,52532
bandit,0.20,100,29320
flake8,0.15,236,22660
ruff,0.01,125,82244
mypy,0.15,100,52496
bandit,0.21,100,29244
flake8,0.15,233,24892
ruff,0.01,154,78216
mypy,0.15,100,52548
bandit,0.20,100,29244
flake8,0.15,231,24820
ruff,0.01,136,80560
mypy,0.15,99,52556
bandit,0.21,100,29092
flake8,0.15,235,22732
ruff,0.01,117,78004
mypy,0.15,100,52540
bandit,0.21,100,29232
flake8,0.15,229,22744
ruff,0.01,145,80252
mypy,0.15,100,52628
bandit,0.20,100,29304
flake8,0.15,231,24836
ruff,0.01,145,74680
mypy,0.15,100,52612
bandit,0.21,99,29160
flake8,0.15,236,22688
ruff,0.01,136,78524
mypy,0.15,99,52620
bandit,0.21,100,29284
flake8,0.16,233,22692
ruff,0.01,129,84196
mypy,0.15,100,52636
bandit,0.20,100,29136
flake8,0.15,230,22804
ruff,0.01,136,82444
mypy,0.15,99,52608
bandit,0.20,100,29232
flake8,0.15,234,22800
ruff,0.01,136,72212
mypy,0.16,100,52544
bandit,0.20,100,29280
flake8,0.15,236,24888
ruff,0.01,133,82588
mypy,0.15,100,52452
bandit,0.20,100,29156
flake8,0.15,232,24844
ruff,0.01,127,84460
mypy,0.15,99,52608
bandit,0.20,100,29284
flake8,0.15,240,24844
ruff,0.01,145,80476
mypy,0.15,100,52580
bandit,0.20,99,29256
flake8,0.15,235,22804
ruff,0.01,145,80576
mypy,0.15,100,52552
bandit,0.20,100,29284
flake8,0.15,236,22804
ruff,0.01,145,78668
mypy,0.15,99,52532
bandit,0.20,99,29244
flake8,0.15,230,22788
ruff,0.01,131,78328
mypy,0.15,100,52556
bandit,0.20,100,29236
flake8,0.15,230,22680
ruff,0.01,133,76364
mypy,0.15,100,52540
bandit,0.20,100,29132
flake8,0.15,232,24744
ruff,0.01,141,86308
mypy,0.15,99,52528
bandit,0.20,100,29236
flake8,0.15,229,22664
ruff,0.01,150,76120
mypy,0.15,99,52532
bandit,0.20,99,29220
flake8,0.15,239,22808
ruff,0.01,126,77948
mypy,0.15,99,52568
bandit,0.20,99,29284
flake8,0.15,240,22816
ruff,0.01,127,76580
mypy,0.15,100,52544
bandit,0.20,99,29288
flake8,0.15,237,22752
ruff,0.01,145,74304
mypy,0.15,100,52572
bandit,0.20,95,29140
flake8,0.15,232,22800
ruff,0.01,136,82172
mypy,0.15,100,52532
bandit,0.20,100,29148
flake8,0.15,236,24816
ruff,0.01,122,84296
mypy,0.15,100,52544
bandit,0.20,99,29088
flake8,0.15,242,22808
ruff,0.01,127,74088
mypy,0.15,99,52528
bandit,0.20,100,29300
flake8,0.15,235,22744
ruff,0.01,133,82324
mypy,0.15,100,52612
bandit,0.20,99,29232
flake8,0.15,234,22688
ruff,0.01,145,82992
mypy,0.15,100,52552
bandit,0.20,99,29220
flake8,0.15,228,22784
ruff,0.01,122,77944
mypy,0.15,100,52532
bandit,0.20,99,28960
flake8,0.15,225,24848
ruff,0.01,145,82248
mypy,0.15,100,52532
bandit,0.20,99,29324
flake8,0.15,230,22688
ruff,0.01,145,80356
mypy,0.15,99,52488
bandit,0.20,99,29232
flake8,0.15,231,22704
ruff,0.01,138,84228
mypy,0.15,100,52528
bandit,0.20,100,29248
flake8,0.15,235,22684
ruff,0.01,117,74544
mypy,0.14,99,52608
bandit,0.20,100,28964
flake8,0.15,237,22784
ruff,0.01,138,82544
mypy,0.15,100,52540
bandit,0.20,99,29092
flake8,0.15,238,22752
ruff,0.01,145,80056
mypy,0.15,100,52556
bandit,0.20,99,29088
flake8,0.15,234,22868
ruff,0.01,145,76444
mypy,0.15,100,52604
bandit,0.20,99,29224
flake8,0.15,231,24828
ruff,0.01,127,82528
mypy,0.15,100,52488
bandit,0.20,100,29240
flake8,0.15,238,22756
ruff,0.01,150,74716
mypy,0.15,100,52488
bandit,0.20,99,29284
flake8,0.15,232,22728
ruff,0.01,136,80276
mypy,0.15,100,52560
bandit,0.20,100,29256
flake8,0.16,235,22728
ruff,0.01,136,84372
mypy,0.14,99,52476
bandit,0.20,100,29240
flake8,0.15,225,22688
ruff,0.01,126,84524
mypy,0.15,100,52480
bandit,0.20,99,29084
flake8,0.16,233,22864
ruff,0.01,140,78240
mypy,0.15,100,52556
bandit,0.20,99,29300
flake8,0.15,247,22728
ruff,0.01,150,84540
mypy,0.15,100,52612
bandit,0.20,100,29252
flake8,0.14,235,22864
ruff,0.01,140,72400
mypy,0.15,100,52572
bandit,0.20,99,29128
flake8,0.15,236,22800
ruff,0.01,122,76156
mypy,0.15,99,52528
bandit,0.20,100,29312
flake8,0.16,243,22868
ruff,0.01,136,75348
mypy,0.15,100,52556
bandit,0.20,100,29156
flake8,0.15,234,22808
ruff,0.01,141,82388
mypy,0.15,95,52612
bandit,0.20,100,29244
flake8,0.15,232,22740
ruff,0.01,145,76508
mypy,0.15,100,52608
bandit,0.20,99,29160
flake8,0.16,238,22796
ruff,0.01,109,47856
mypy,0.15,100,52540
bandit,0.20,99,29288
flake8,0.15,232,24708
ruff,0.01,128,86320
mypy,0.15,100,52556
bandit,0.20,100,28952
flake8,0.15,237,24768
ruff,0.01,130,64272
mypy,0.15,100,52544
bandit,0.20,100,29124
flake8,0.14,238,22796
ruff,0.01,145,80332
mypy,0.15,100,52564
bandit,0.20,100,29240
flake8,0.16,233,22728
ruff,0.01,122,80300
mypy,0.15,99,52504
bandit,0.20,99,29136
flake8,0.15,235,24840
ruff,0.01,133,78028
mypy,0.15,100,52572
bandit,0.20,99,29152
flake8,0.15,236,22704
ruff,0.01,127,76324
mypy,0.15,100,52536
bandit,0.20,100,29260
flake8,0.15,234,22816
ruff,0.01,150,84220
mypy,0.15,99,52636
bandit,0.20,99,29252
flake8,0.15,229,24852
ruff,0.01,129,82196
mypy,0.15,99,52620
bandit,0.20,97,29132
flake8,0.15,238,22788
ruff,0.01,133,80240
mypy,0.15,100,52624
bandit,0.20,100,29252
flake8,0.16,237,22696
ruff,0.01,145,80456
mypy,0.15,100,52624
bandit,0.20,99,29124
flake8,0.15,231,24832
ruff,0.01,145,82920
mypy,0.15,100,52540
bandit,0.20,99,29156
flake8,0.16,240,26860
ruff,0.01,121,66120
mypy,0.15,100,52544
bandit,0.20,99,29156
flake8,0.15,239,22728
ruff,0.01,123,82468
mypy,0.14,100,52600
bandit,0.20,100,29220
flake8,0.15,236,22708
ruff,0.01,125,76040
mypy,0.15,100,52568
bandit,0.20,100,28960
flake8,0.15,235,22800
ruff,0.01,145,74988
mypy,0.15,100,52560
bandit,0.20,100,29136
flake8,0.15,232,22704
ruff,0.01,135,80468
mypy,0.14,100,52548
bandit,0.20,99,29236
flake8,0.15,240,22708
ruff,0.01,141,84096
mypy,0.15,100,52544
bandit,0.20,99,29252
flake8,0.16,234,22660
ruff,0.01,127,86456
mypy,0.15,95,52456
bandit,0.22,100,29272
flake8,0.17,236,22820
ruff,0.02,117,79240
mypy,0.15,99,52480
bandit,0.20,100,28968
flake8,0.15,235,22796
ruff,0.01,125,74124
mypy,0.15,100,52608
bandit,0.20,99,29216
flake8,0.14,233,22696
ruff,0.01,141,82624
mypy,0.14,99,52536
bandit,0.21,100,29296
flake8,0.15,237,22812
ruff,0.01,133,78308
mypy,0.15,100,52608
bandit,0.20,100,29336
flake8,0.15,242,22864
ruff,0.01,138,78216
mypy,0.15,100,52612
bandit,0.20,100,29232
flake8,0.15,230,22800
ruff,0.01,123,77968
mypy,0.15,100,52556
bandit,0.20,99,29236
flake8,0.15,237,22744
ruff,0.01,145,80280
mypy,0.15,100,52480
bandit,0.20,99,29296
flake8,0.14,246,24784
ruff,0.01,120,57792
mypy,0.15,100,52556
bandit,0.20,99,29156
flake8,0.15,238,24760
ruff,0.01,145,84360
mypy,0.15,99,52484
bandit,0.20,99,29264
flake8,0.15,228,22680
ruff,0.01,126,86028
mypy,0.15,99,52624
bandit,0.20,100,29124
flake8,0.14,238,22740
ruff,0.01,145,86000
mypy,0.15,100,52556
bandit,0.20,100,29284
flake8,0.15,240,26720
ruff,0.01,133,84100
mypy,0.16,99,52548
bandit,0.20,99,29252
flake8,0.15,229,22812
ruff,0.01,145,88444
mypy,0.15,100,52604
bandit,0.20,100,29296
flake8,0.16,227,24796
ruff,0.01,129,76536
mypy,0.15,99,52528
bandit,0.20,99,29220
flake8,0.15,234,24700
ruff,0.01,136,75084
mypy,0.15,100,52520
bandit,0.20,100,29224
flake8,0.15,243,24712
ruff,0.01,138,83336
mypy,0.15,99,52532
bandit,0.20,100,29280
flake8,0.15,237,24760
ruff,0.01,136,78152
mypy,0.15,99,52524
bandit,0.20,99,29228
flake8,0.16,232,22704
ruff,0.01,126,82960
mypy,0.15,99,52448
bandit,0.20,100,29124
flake8,0.15,231,24808
ruff,0.01,133,84288
mypy,0.15,100,52476
bandit,0.20,99,29148
flake8,0.15,235,22664
ruff,0.01,163,82100
mypy,0.15,100,52548
bandit,0.20,99,29256
flake8,0.15,235,22704
ruff,0.01,133,78280
mypy,0.15,100,52612
bandit,0.20,100,29268
flake8,0.15,227,22656
ruff,0.01,129,78488
mypy,0.15,99,52568
bandit,0.20,99,29084
flake8,0.16,238,24848
ruff,0.01,133,82432
mypy,0.15,99,52536
bandit,0.20,100,29292
flake8,0.15,239,22692
ruff,0.01,145,80200
mypy,0.15,100,52564
bandit,0.20,99,29224
flake8,0.15,236,22812
ruff,0.01,145,86660
mypy,0.14,100,52532
bandit,0.20,99,29156
flake8,0.15,238,22800
ruff,0.01,133,86052
mypy,0.15,99,52460
bandit,0.20,100,29300
flake8,0.15,233,24852
ruff,0.01,145,80416
mypy,0.15,99,52628
bandit,0.20,100,29156
flake8,0.15,232,22808
ruff,0.01,145,76644
mypy,0.15,100,52572
bandit,0.20,99,29328
flake8,0.15,232,22728
ruff,0.01,145,82260
mypy,0.15,100,52480
bandit,0.21,99,29328
flake8,0.15,237,22664
ruff,0.01,127,80088
mypy,0.15,100,52608
bandit,0.20,100,29296
flake8,0.16,231,24760
ruff,0.01,125,82140
mypy,0.15,100,52528
bandit,0.20,100,29328
flake8,0.15,233,22804
ruff,0.01,133,84292
mypy,0.15,100,52540
bandit,0.20,99,29232
flake8,0.15,233,22704
ruff,0.01,145,78496
mypy,0.15,100,52560
bandit,0.20,100,29220
flake8,0.15,238,22792
ruff,0.01,129,78676
mypy,0.15,100,52480
bandit,0.20,95,29248
flake8,0.15,235,22660
ruff,0.01,133,82560
mypy,0.15,100,52480
bandit,0.21,100,29088
flake8,0.15,243,22660
ruff,0.01,163,84388
mypy,0.15,100,52528
bandit,0.20,99,29088
flake8,0.15,237,22816
ruff,0.01,145,76672
mypy,0.15,99,52536
bandit,0.23,100,29248
flake8,0.15,231,22800
ruff,0.01,122,82348
mypy,0.15,100,52560
bandit,0.20,99,29232
flake8,0.15,230,24840
ruff,0.01,125,82360
mypy,0.15,100,52608
bandit,0.20,99,29260
flake8,0.15,241,22744
ruff,0.01,145,78120
mypy,0.15,100,52572
bandit,0.20,100,29300
flake8,0.15,233,22664
ruff,0.01,145,80228
mypy,0.15,96,52548
bandit,0.20,99,29256
flake8,0.16,228,22812
ruff,0.01,127,84192
mypy,0.15,99,52540
bandit,0.20,99,29216
flake8,0.15,236,22664
ruff,0.01,125,74344
mypy,0.15,100,52628
bandit,0.20,99,29292
flake8,0.15,235,24692
ruff,0.01,154,78404
mypy,0.15,99,52604
bandit,0.20,100,29252
flake8,0.14,233,22728
ruff,0.01,136,84384
mypy,0.15,99,52552
bandit,0.20,99,29284
flake8,0.15,229,22808
ruff,0.01,133,68332
mypy,0.15,99,52612
bandit,0.20,99,29200
flake8,0.15,240,24776
ruff,0.01,141,80084
mypy,0.15,100,52600
bandit,0.20,100,29220
flake8,0.16,237,24812
ruff,0.01,141,82244
mypy,0.15,100,52612
bandit,0.20,99,29240
flake8,0.15,236,22728
ruff,0.01,136,80440
mypy,0.15,95,52460
bandit,0.20,97,29156
flake8,0.15,229,22872
ruff,0.01,129,78460
mypy,0.15,99,52628
bandit,0.20,99,29248
flake8,0.15,235,24844
ruff,0.01,116,82220
mypy,0.15,99,52632
bandit,0.20,100,29236
flake8,0.15,239,24796
ruff,0.01,136,80152
mypy,0.16,100,52440
bandit,0.20,99,29256
flake8,0.15,239,22664
ruff,0.01,154,73228
mypy,0.15,100,52608
bandit,0.20,100,29336
flake8,0.15,234,22808
ruff,0.01,121,81936
mypy,0.15,100,52524
bandit,0.20,100,28956
flake8,0.16,233,22744
ruff,0.01,145,80308
mypy,0.15,100,52544
bandit,0.20,100,29228
flake8,0.16,232,22664
ruff,0.01,150,84176
mypy,0.15,100,52460
bandit,0.20,99,29240
flake8,0.15,232,22808
ruff,0.01,133,80436
mypy,0.15,99,52624
bandit,0.21,100,29292
flake8,0.15,233,22816
ruff,0.01,114,62080
mypy,0.15,100,52636
bandit,0.20,97,29244
flake8,0.15,243,22800
ruff,0.01,125,71968
mypy,0.17,100,52528
bandit,0.25,98,29248
flake8,0.15,232,22660
ruff,0.08,107,80544
mypy,0.15,96,52492
bandit,0.20,99,29084
flake8,0.15,234,22804
ruff,0.01,127,72356
mypy,0.15,100,52616
bandit,0.21,100,29136
flake8,0.15,235,22784
ruff,0.01,126,88048
mypy,0.15,100,52568
bandit,0.20,99,29132
flake8,0.14,234,22864
ruff,0.01,133,86200
mypy,0.15,100,52460
bandit,0.20,99,29244
flake8,0.15,239,22664
ruff,0.01,136,78248
mypy,0.15,100,52608
bandit,0.20,99,29216
flake8,0.15,237,22856
ruff,0.01,145,82348
mypy,0.15,100,52464
bandit,0.20,99,29252
flake8,0.15,232,22708
ruff,0.01,127,82348
mypy,0.15,97,52628
bandit,0.20,99,29284
flake8,0.15,235,22728
ruff,0.01,133,84084
mypy,0.15,100,52528
bandit,0.20,99,29252
flake8,0.15,231,22812
ruff,0.01,145,80356
mypy,0.15,100,52608
bandit,0.20,99,29232
flake8,0.15,232,22680
ruff,0.01,145,80420
mypy,0.14,99,52472
bandit,0.20,99,29284
flake8,0.16,225,22692
ruff,0.01,137,74224
mypy,0.15,100,52556
bandit,0.20,99,29232
flake8,0.15,247,24736
ruff,0.01,145,80660
mypy,0.15,100,52528
bandit,0.20,99,29200
flake8,0.15,234,22732
ruff,0.01,145,82472
mypy,0.15,98,52600
bandit,0.21,99,29152
flake8,0.16,234,22656
ruff,0.01,145,85020
mypy,0.15,99,52456
bandit,0.20,100,29160
flake8,0.15,233,24820
ruff,0.01,128,62160
mypy,0.15,100,52528
bandit,0.20,99,29140
flake8,0.16,231,22868
ruff,0.01,138,80572
mypy,0.15,99,52556
bandit,0.20,99,29240
flake8,0.15,231,22808
ruff,0.01,141,83236
mypy,0.15,99,52556
bandit,0.20,99,29240
flake8,0.15,241,24820
ruff,0.01,133,82224
mypy,0.15,99,52464
bandit,0.20,99,29132
flake8,0.16,227,22860
ruff,0.01,133,80460
mypy,0.15,100,52600
bandit,0.20,99,29336
flake8,0.16,231,24808
ruff,0.01,145,84044
mypy,0.15,99,52604
bandit,0.20,100,29164
flake8,0.16,236,22804
ruff,0.01,141,82224
mypy,0.15,100,52560
bandit,0.20,100,29200
flake8,0.15,237,22736
ruff,0.01,160,76816
mypy,0.15,99,52528
bandit,0.20,100,29260
flake8,0.15,234,22812
ruff,0.01,122,86292
mypy,0.15,100,52500
bandit,0.20,99,29252
flake8,0.15,229,24808
ruff,0.01,145,78716
mypy,0.14,99,52596
bandit,0.20,100,29248
flake8,0.16,226,24764
ruff,0.01,170,82008
mypy,0.15,100,52552
bandit,0.20,99,29320
flake8,0.16,233,22796
ruff,0.01,181,75232
mypy,0.14,99,52552
bandit,0.20,100,29288
flake8,0.15,230,22744
ruff,0.01,129,76704
mypy,0.15,99,52476
bandit,0.20,99,29248
flake8,0.15,233,22808
ruff,0.01,136,80352
mypy,0.15,100,52436
bandit,0.20,99,29256
flake8,0.15,235,22712
ruff,0.01,136,79040
mypy,0.15,100,52628
bandit,0.20,100,29240
flake8,0.15,239,22804
ruff,0.01,150,78424
mypy,0.15,100,52456
bandit,0.20,97,29088
flake8,0.15,236,24712
ruff,0.01,129,78488
mypy,0.15,99,52556
bandit,0.21,100,29300
flake8,0.15,237,24820
ruff,0.01,145,82508
mypy,0.15,100,52608
bandit,0.20,99,29296
flake8,0.15,237,22696
ruff,0.01,118,80236
mypy,0.15,99,52540
bandit,0.21,100,29212
flake8,0.15,235,22792
ruff,0.01,133,86216
mypy,0.15,99,52556
bandit,0.21,100,29124
flake8,0.15,232,24736
ruff,0.01,122,80120
mypy,0.15,100,52464
bandit,0.20,100,29128
flake8,0.16,227,22868
ruff,0.01,138,80204
mypy,0.15,99,52580
bandit,0.20,99,29280
flake8,0.14,237,24896
ruff,0.01,136,84252
mypy,0.15,100,52576
bandit,0.21,98,29232
flake8,0.14,245,24832
ruff,0.01,133,82204
mypy,0.15,100,52532
bandit,0.21,100,29232
flake8,0.16,234,22812
ruff,0.01,131,74252
mypy,0.15,100,52604
